CharacterID,Name,Race,Saga,BasePowerLevel,MaxPowerLevel,Age,Alignment,HasKiControl
20114,Goten,Hybrid,Saiyan Saga,16685,677099,203,Hero,True
20115,Frieza,Frieza Race,Broly Movie,626184671,3304057499,436,Villain,True
20116,Nappa,Saiyan,Frieza Saga,225118,4354587,234,Hero,False
20117,Bulma,Human,Cell Saga,2787210,127907854,623,Neutral,False
20118,Whis,Hybrid,Battle of Gods,92696363,1809012349,684,Villain,False
20119,Bardock,Hybrid,Tournament of Power,236951428,10538686522,177,Neutral,True
20120,Nappa,Saiyan,Buu Saga,53689597,1060384165,19,Neutral,False
20121,Android 18,Hybrid,Battle of Gods,295320597,9001,38,Anti-Hero,True
20122,Broly,Hybrid,Frieza Saga,250975,9921621,905,Neutral,False
20123,Raditz,Saiyan,Battle of Gods,884487183,20705040630,948,Anti-Hero,False
20124,Bardock,Saiyan,Broly Movie,831364510,12585383213,662,Hero,False
20125,Nappa,Hybrid,Cell Saga,515958,14978622,451,Anti-Hero,False
20126,Bardock,Saiyan,Buu Saga,51981686,102421297,82,Villain,False
20127,Goku,Saiyan,Tournament of Power,951834526,2415539724,137,Anti-Hero,False
20128,Frieza,Frieza Race,Battle of Gods,318225005,2415244892,245,Villain,True
20129,Nappa,Hybrid,Buu Saga,65573999,3262594227,858,Neutral,False
20130,Gohan,Saiyan,Cell Saga,2079804,28541436,156,Anti-Hero,False
20131,Jiren,Saiyan,Broly Movie,389921922,14544411632,135,Neutral,True
20132,Android 17,Frieza Race,Buu Saga,41859069,1163934898,588,Anti-Hero,False
20133,Frieza,Frieza Race,Buu Saga,64815874,1964184241,894,Neutral,False
20134,Cell,Hybrid,Buu Saga,5473270,148564409,298,Hero,False
20135,Raditz,Hybrid,Battle of Gods,124128172,1014411371,227,Hero,True
20136,Android 18,Hybrid,Battle of Gods,91028405,4361635210,768,Neutral,False
20137,Frieza,Frieza Race,Tournament of Power,63030497,1926219591,851,Hero,False
20138,Broly,Saiyan,Frieza Saga,53341,2233642,34,Villain,False
20139,Majin Buu,God,Buu Saga,47444194,1403076399,933,Hero,True
20140,Android 18,Majin,Battle of Gods,762937969,33633129712,57,Anti-Hero,False
20141,Bardock,Saiyan,Broly Movie,279103572,5465709166,298,Anti-Hero,True
20142,Vegeta,Hybrid,Broly Movie,855882320,27780204032,362,Anti-Hero,True
20143,Piccolo,Namekian,Broly Movie,694530069,10231151199,472,Neutral,True
20144,Majin Buu,Saiyan,Buu Saga,25960721,356299575,514,Hero,True
20145,Krillin,Human,Tournament of Power,639254952,30029067513,875,Neutral,True
20146,Vegeta,Hybrid,Saiyan Saga,16128,683764,201,Anti-Hero,True
20147,Krillin,Human,Frieza Saga,527159,21468926,447,Hero,False
20148,Raditz,Hybrid,Broly Movie,71058244,1753402112,786,Anti-Hero,False
20149,Bardock,Hybrid,Frieza Saga,152134,1340968,355,Villain,True
20150,Android 17,Angel,Buu Saga,86876645,9001,352,Hero,True
20151,Vegeta,Saiyan,Frieza Saga,484495,3839415,330,Villain,False
20152,Bulma,Human,Buu Saga,13267944,144090189,794,Villain,True
20153,Bardock,Hybrid,Battle of Gods,196212181,4468840997,987,Villain,True
20154,Nappa,Saiyan,Battle of Gods,292617550,9947759538,563,Anti-Hero,True
20155,Nappa,Saiyan,Tournament of Power,285031033,1286337331,478,Villain,False
20156,Bulma,Human,Saiyan Saga,14768,58159,763,Hero,False
20157,Android 18,Namekian,Cell Saga,2066303,69008121,986,Anti-Hero,False
20158,Krillin,Human,Broly Movie,450472410,16353234260,408,Hero,False
20159,Trunks,Hybrid,Cell Saga,1907449,38163339,508,Anti-Hero,True
20160,Android 17,Angel,Frieza Saga,405793,6994653,211,Hero,False
20161,Majin Buu,Android,Frieza Saga,254001,8232108,364,Hero,True
20162,Android 18,God,Buu Saga,89756407,535002353,726,Villain,True
20163,Beerus,Angel,Saiyan Saga,15824,250636,474,Neutral,False
20164,Gohan,Saiyan,Buu Saga,60216237,107333508,552,Neutral,False
20165,Goku,Saiyan,Cell Saga,4291772,17723133,184,Villain,True
20166,Vegeta,Saiyan,Saiyan Saga,10529,416450,292,Anti-Hero,False
20167,Frieza,Frieza Race,Broly Movie,948648227,41723905824,978,Hero,True
20168,Krillin,Human,Saiyan Saga,5178,100817,256,Neutral,True
20169,Piccolo,Namekian,Buu Saga,61749372,2964463105,691,Anti-Hero,True
20170,Goten,Saiyan,Frieza Saga,429973,3661998,910,Neutral,False
20171,Raditz,Hybrid,Battle of Gods,745420954,35750493881,583,Neutral,False
20172,Frieza,Frieza Race,Frieza Saga,139012,6230264,448,Hero,False
20173,Goku,Hybrid,Cell Saga,2156718,85226471,797,Hero,False
20174,Bulma,Human,Battle of Gods,956315467,42186247611,73,Anti-Hero,True
20175,Yamcha,Human,Buu Saga,81474074,3712255245,814,Anti-Hero,False
20176,Broly,Hybrid,Buu Saga,33410946,269527910,238,Neutral,True
20177,Frieza,Frieza Race,Saiyan Saga,17176,43454,86,Neutral,True
20178,Goku,Saiyan,Battle of Gods,332898574,9603248001,131,Neutral,False
20179,Android 18,Hybrid,Saiyan Saga,15164,9001,140,Villain,True
20180,Broly,Hybrid,Tournament of Power,795589992,32273335359,94,Anti-Hero,False
20181,Android 18,Namekian,Cell Saga,1055450,48112481,644,Neutral,True
20182,Cell,Angel,Saiyan Saga,3651,172688,680,Hero,True
20183,Android 18,Frieza Race,Saiyan Saga,13154,534631,261,Anti-Hero,False
20184,Android 18,Human,Buu Saga,57209648,2178960395,994,Villain,True
20185,Broly,Saiyan,Saiyan Saga,11813,451883,341,Anti-Hero,False
20186,Gohan,Saiyan,Cell Saga,4287723,102072541,728,Villain,True
20187,Bulma,Human,Frieza Saga,428403,19296227,78,Hero,False
20188,Tien,Human,Broly Movie,557201877,851407778,745,Hero,False
20189,Broly,Saiyan,Battle of Gods,196703316,3441530206,392,Villain,True
20190,Bardock,Saiyan,Battle of Gods,217860666,5796777245,816,Villain,False
20191,Android 17,Namekian,Battle of Gods,924253305,33590548119,190,Anti-Hero,False
20192,Goku,Hybrid,Buu Saga,38030815,1228576124,981,Neutral,True
20193,Vegeta,Saiyan,Buu Saga,75674315,3492342527,847,Hero,False
20194,Yamcha,Human,Battle of Gods,905220941,29786557283,273,Anti-Hero,False
20195,Piccolo,Namekian,Cell Saga,2665756,10101915,381,Neutral,False
20196,Raditz,Saiyan,Saiyan Saga,13310,50269,53,Anti-Hero,True
20197,Trunks,Saiyan,Tournament of Power,618229776,5103885224,365,Anti-Hero,True
20198,Android 18,God,Cell Saga,248210,11911338,845,Villain,True
20199,Cell,Namekian,Battle of Gods,694009285,22665111380,272,Anti-Hero,False
20200,Piccolo,Namekian,Battle of Gods,814267514,8511322761,484,Villain,True
20201,Gohan,Hybrid,Broly Movie,470232765,11879275849,546,Neutral,True
20202,Beerus,Frieza Race,Tournament of Power,966604690,40590454229,364,Hero,True
20203,Jiren,Saiyan,Buu Saga,7748263,127319125,561,Anti-Hero,False
20204,Nappa,Hybrid,Buu Saga,13427065,239162101,104,Villain,False
20205,Trunks,Hybrid,Battle of Gods,648658050,15044123997,262,Anti-Hero,True
20206,Krillin,Human,Tournament of Power,953890786,17779304210,471,Neutral,False
20207,Goten,Saiyan,Cell Saga,4295974,29159842,763,Hero,True
20208,Tien,Human,Saiyan Saga,6717,33416,503,Hero,True
20209,Tien,Human,Broly Movie,809917126,1230737727,491,Villain,True
20210,Trunks,Hybrid,Broly Movie,43507566,1792112634,739,Hero,False
20211,Beerus,Namekian,Cell Saga,3234359,150319751,500,Villain,False
20212,Raditz,Saiyan,Buu Saga,50197758,989538456,540,Anti-Hero,False
20213,Frieza,Frieza Race,Buu Saga,9735020,390211531,516,Hero,False
20214,Nappa,Hybrid,Tournament of Power,574565269,6459126269,289,Neutral,False
20215,Jiren,Saiyan,Saiyan Saga,5146,116295,909,Anti-Hero,False
20216,Majin Buu,Saiyan,Tournament of Power,536127166,8637059176,926,Villain,True
20217,Android 18,Frieza Race,Broly Movie,470927706,22960348414,946,Hero,True
20218,Raditz,Hybrid,Broly Movie,846238112,16392756879,61,Hero,False
20219,Android 17,Saiyan,Buu Saga,17678987,642843230,613,Villain,True
20220,Goten,Saiyan,Cell Saga,4822307,106816401,873,Neutral,False
20221,Raditz,Saiyan,Saiyan Saga,15303,527887,323,Villain,True
20222,Jiren,Namekian,Broly Movie,986572779,5722001913,968,Hero,False
20223,Raditz,Saiyan,Tournament of Power,14229381,9001,920,Villain,False
20224,Jiren,God,Frieza Saga,70790,2499084,540,Anti-Hero,True
20225,Vegeta,Hybrid,Battle of Gods,658309042,1651947774,399,Villain,True
20226,Trunks,Saiyan,Saiyan Saga,2873,64157,886,Hero,False
20227,Android 17,Android,Saiyan Saga,7090,102716,832,Hero,True
20228,Cell,Frieza Race,Saiyan Saga,16862,332767,70,Anti-Hero,True
20229,Android 17,God,Buu Saga,51036411,1536046479,845,Neutral,False
20230,Goten,Saiyan,Broly Movie,209106192,10235960592,540,Anti-Hero,True
20231,Android 17,Human,Broly Movie,177755033,2014515856,241,Neutral,False
20232,Krillin,Human,Saiyan Saga,6488,264131,634,Hero,False
20233,Nappa,Saiyan,Saiyan Saga,17212,699498,830,Neutral,False
20234,Vegeta,Hybrid,Cell Saga,4752083,113362978,988,Hero,False
20235,Piccolo,Namekian,Cell Saga,2278068,54535859,971,Villain,False
20236,Beerus,God,Tournament of Power,456636110,13897346434,729,Anti-Hero,False
20237,Piccolo,Namekian,Tournament of Power,764969957,12460391031,735,Neutral,True
20238,Tien,Human,Tournament of Power,659737033,19751493037,33,Anti-Hero,False
20239,Cell,God,Cell Saga,4671502,204481380,815,Villain,False
20240,Broly,Saiyan,Saiyan Saga,1466,72539,371,Anti-Hero,False
20241,Vegeta,Saiyan,Tournament of Power,734263159,15574239344,119,Neutral,True
20242,Goku,Saiyan,Broly Movie,144808459,1019835105,158,Neutral,True
20243,Goten,Hybrid,Tournament of Power,676142272,17596286805,607,Hero,True
20244,Trunks,Saiyan,Frieza Saga,366490,14741749,485,Villain,False
20245,Whis,God,Buu Saga,23398868,61623221,83,Hero,False
20246,Whis,God,Saiyan Saga,10047,166144,667,Anti-Hero,False
20247,Bardock,Saiyan,Tournament of Power,562677298,7473733045,17,Neutral,False
20248,Android 17,Namekian,Cell Saga,2269952,32463364,560,Villain,True
20249,Yamcha,Human,Saiyan Saga,16258,380859,470,Anti-Hero,True
20250,Frieza,Frieza Race,Buu Saga,84149079,3231130559,826,Villain,False
20251,Whis,Saiyan,Saiyan Saga,3222,147555,382,Anti-Hero,True
20252,Nappa,Hybrid,Saiyan Saga,14193,709565,139,Neutral,True
20253,Broly,Hybrid,Broly Movie,131593458,5406965023,54,Villain,False
20254,Tien,Human,Battle of Gods,104563996,1619861831,866,Anti-Hero,True
20255,Nappa,Hybrid,Saiyan Saga,17201,61836,286,Hero,False
20256,Android 18,Human,Tournament of Power,262132363,1955836302,945,Anti-Hero,True
20257,Android 17,Frieza Race,Tournament of Power,635699141,24082830275,199,Neutral,True
20258,Bardock,Hybrid,Tournament of Power,754688492,14411926310,252,Hero,True
20259,Yamcha,Human,Buu Saga,75589925,2654871774,339,Neutral,True
20260,Bulma,Human,Buu Saga,14449523,106773418,913,Anti-Hero,True
20261,Beerus,Namekian,Broly Movie,824354598,21445727879,662,Hero,False
20262,Whis,Human,Battle of Gods,516008344,14980380983,930,Neutral,False
20263,Majin Buu,Android,Buu Saga,41147368,630790557,19,Anti-Hero,True
20264,Raditz,Hybrid,Tournament of Power,295258742,6695426092,572,Anti-Hero,False
20265,Bardock,Hybrid,Tournament of Power,104421849,2038833239,119,Neutral,True
20266,Bulma,Human,Broly Movie,187812920,4469123734,630,Villain,True
20267,Whis,Angel,Battle of Gods,78520314,3295868208,201,Villain,False
20268,Vegeta,Saiyan,Battle of Gods,79986753,2166267137,49,Hero,True
20269,Bardock,Hybrid,Saiyan Saga,15120,691512,987,Anti-Hero,True
20270,Whis,Saiyan,Cell Saga,480222,19151047,700,Anti-Hero,True
20271,Yamcha,Human,Tournament of Power,40903829,834313218,93,Anti-Hero,False
20272,Cell,Namekian,Buu Saga,7888967,83857999,235,Hero,True
20273,Bardock,Hybrid,Battle of Gods,176587146,5075180948,748,Villain,False
20274,Yamcha,Human,Saiyan Saga,12693,151351,110,Neutral,True
20275,Majin Buu,Android,Frieza Saga,32262,1259437,40,Anti-Hero,False
20276,Frieza,Frieza Race,Buu Saga,60601407,2194920583,758,Hero,True
20277,Nappa,Hybrid,Broly Movie,237181026,4314734606,21,Anti-Hero,True
20278,Gohan,Hybrid,Saiyan Saga,3064,142247,115,Anti-Hero,True
20279,Raditz,Hybrid,Frieza Saga,48260,1848147,435,Villain,True
20280,Gohan,Saiyan,Cell Saga,4709097,20643433,949,Hero,False
20281,Frieza,Frieza Race,Tournament of Power,25179350,348618110,912,Anti-Hero,False
20282,Jiren,Namekian,Buu Saga,65233718,1037259724,611,Villain,False
20283,Piccolo,Namekian,Buu Saga,28351095,699278526,953,Anti-Hero,False
20284,Tien,Human,Tournament of Power,322813735,15886438359,540,Villain,True
20285,Tien,Human,Battle of Gods,926674927,44953841922,939,Villain,False
20286,Raditz,Hybrid,Saiyan Saga,17276,39314,924,Neutral,True
20287,Tien,Human,Buu Saga,77290930,2129596593,743,Anti-Hero,True
20288,Whis,Majin,Saiyan Saga,14744,341617,815,Neutral,False
20289,Tien,Human,Frieza Saga,281096,5513091,709,Villain,True
20290,Piccolo,Namekian,Battle of Gods,523256677,15679093134,653,Villain,False
20291,Majin Buu,Saiyan,Buu Saga,13909711,167947206,929,Anti-Hero,True
20292,Goten,Saiyan,Tournament of Power,110066427,1308666594,370,Anti-Hero,True
20293,Goten,Hybrid,Tournament of Power,805919051,32846082352,902,Neutral,True
20294,Goku,Hybrid,Cell Saga,1977418,73614269,643,Hero,True
20295,Goten,Hybrid,Buu Saga,61505916,251804618,806,Neutral,False
20296,Yamcha,Human,Broly Movie,51820577,2242969989,26,Villain,False
20297,Goku,Saiyan,Battle of Gods,780508634,36796720073,174,Villain,True
20298,Gohan,Saiyan,Cell Saga,1360863,6000950,424,Villain,False
20299,Gohan,Hybrid,Battle of Gods,346220411,3193773029,384,Anti-Hero,False
20300,Broly,Hybrid,Broly Movie,285116201,8281608152,915,Neutral,True
20301,Tien,Human,Buu Saga,30173895,421441202,393,Neutral,False
20302,Android 18,Frieza Race,Cell Saga,3923112,188036363,602,Villain,False
20303,Yamcha,Human,Broly Movie,565647202,13492787805,65,Anti-Hero,True
20304,Vegeta,Hybrid,Saiyan Saga,10218,74693,939,Hero,True
20305,Vegeta,Hybrid,Cell Saga,4056740,167942627,921,Neutral,True
20306,Raditz,Saiyan,Frieza Saga,215807,10309659,72,Neutral,False
20307,Jiren,Namekian,Saiyan Saga,9530,168003,151,Villain,False
20308,Gohan,Hybrid,Saiyan Saga,7390,50355,896,Neutral,True
20309,Frieza,Frieza Race,Tournament of Power,35310923,1422976631,728,Neutral,True
20310,Jiren,Angel,Buu Saga,61390509,2463184755,182,Villain,True
20311,Cell,Saiyan,Buu Saga,28348967,1329236627,515,Neutral,False
20312,Android 17,Android,Battle of Gods,621863918,27743607138,489,Neutral,True
20313,Raditz,Saiyan,Cell Saga,1319628,35348964,542,Anti-Hero,True
20314,Whis,Hybrid,Broly Movie,753511626,12370619601,701,Anti-Hero,False
20315,Goten,Hybrid,Frieza Saga,181739,3498959,609,Villain,False
20316,Goku,Hybrid,Battle of Gods,868391970,24457675267,181,Villain,True
20317,Nappa,Saiyan,Buu Saga,57193534,383562686,93,Villain,False
20318,Broly,Saiyan,Broly Movie,688407326,15052338811,965,Hero,False
20319,Gohan,Saiyan,Cell Saga,1695519,70707846,877,Hero,True
20320,Raditz,Saiyan,Tournament of Power,935739650,41648299202,898,Anti-Hero,False
20321,Cell,Frieza Race,Tournament of Power,406320302,8780441666,980,Anti-Hero,True
20322,Bulma,Human,Cell Saga,3366785,37775237,744,Hero,False
20323,Android 18,Saiyan,Saiyan Saga,13946,381537,53,Villain,True
20324,Nappa,Saiyan,Buu Saga,38349000,671180975,410,Anti-Hero,False
20325,Jiren,Android,Battle of Gods,374869338,3017628911,400,Villain,True
20326,Beerus,Hybrid,Frieza Saga,436028,18973591,605,Hero,False
20327,Goku,Saiyan,Frieza Saga,28716,1191605,313,Hero,True
20328,Beerus,Android,Battle of Gods,552119072,9001,870,Neutral,False
20329,Bulma,Human,Broly Movie,540447088,8307671234,324,Villain,True
20330,Raditz,Hybrid,Broly Movie,546063427,26647300846,405,Villain,True
20331,Goten,Saiyan,Tournament of Power,187760726,3021102877,842,Anti-Hero,False
20332,Frieza,Frieza Race,Broly Movie,968470533,16665277873,502,Neutral,False
20333,Tien,Human,Buu Saga,73284030,1975365056,326,Anti-Hero,True
20334,Frieza,Frieza Race,Frieza Saga,252005,3112305,792,Neutral,False
20335,Krillin,Human,Buu Saga,48134016,188146312,875,Hero,False
20336,Frieza,Frieza Race,Tournament of Power,300277284,3212307021,250,Hero,True
20337,Yamcha,Human,Buu Saga,49236818,1683807207,285,Hero,True
20338,Vegeta,Hybrid,Broly Movie,131741893,3009382330,658,Hero,True
20339,Goten,Hybrid,Buu Saga,7272947,231443135,169,Anti-Hero,True
20340,Piccolo,Namekian,Frieza Saga,81153,2502063,398,Neutral,True
20341,Nappa,Hybrid,Buu Saga,11975128,122688320,372,Hero,True
20342,Vegeta,Saiyan,Battle of Gods,607114730,13921513676,509,Villain,False
20343,Tien,Human,Tournament of Power,562991778,20146353783,182,Neutral,False
20344,Jiren,Namekian,Buu Saga,15498570,211287549,543,Neutral,False
20345,Piccolo,Namekian,Broly Movie,198913652,7059726787,321,Hero,False
20346,Majin Buu,Angel,Battle of Gods,200281225,4735680016,342,Neutral,False
20347,Krillin,Human,Tournament of Power,55028045,1881895007,18,Villain,False
20348,Goten,Hybrid,Cell Saga,1630297,7326815,158,Hero,True
20349,Cell,Namekian,Frieza Saga,473893,17068643,7,Neutral,True
20350,Trunks,Saiyan,Battle of Gods,965987544,20400103493,394,Hero,False
20351,Cell,Frieza Race,Cell Saga,4271315,146427156,247,Anti-Hero,True
20352,Trunks,Saiyan,Broly Movie,53472008,1393844641,417,Hero,False
20353,Broly,Hybrid,Buu Saga,76798940,3446653935,141,Hero,False
20354,Raditz,Hybrid,Frieza Saga,480585,21712198,722,Anti-Hero,False
20355,Frieza,Frieza Race,Frieza Saga,50436,1812392,678,Hero,False
20356,Whis,Angel,Broly Movie,740432969,13427587799,906,Villain,True
20357,Gohan,Hybrid,Saiyan Saga,16127,276615,279,Neutral,True
20358,Krillin,Human,Saiyan Saga,2049,53406,512,Anti-Hero,False
20359,Krillin,Human,Buu Saga,84364004,1764866982,387,Anti-Hero,True
20360,Krillin,Human,Broly Movie,166490047,7693857216,8,Anti-Hero,False
20361,Goku,Saiyan,Battle of Gods,634818686,3155927369,788,Anti-Hero,False
20362,Yamcha,Human,Cell Saga,3482265,124125367,887,Hero,False
20363,Android 17,Saiyan,Buu Saga,84347794,3779788608,696,Neutral,False
20364,Gohan,Hybrid,Battle of Gods,31980324,299376922,182,Neutral,False
